lbo_rank,ticker,company,sector,sub_industry,cik,sec_company_title,fetch_success,error,year,filed,revenue,gross_profit,operating_income,depreciation_amortization,ebit,ebitda,interest_expense,operating_cash_flow,capex,fcf,free_cash_flow,total_debt,cash,net_debt,current_assets,current_liabilities,fcf_margin,fcf_conversion,fcf_to_debt,debt_to_ebitda,net_debt_to_ebitda,interest_coverage,cash_interest_coverage,current_ratio,capex_to_revenue,capex_to_ebitda,usable_metric_count,revenue_concept,debt_concept,fcf_score,fcf_margin_score,fcf_conversion_score,fcf_to_debt_score,debt_to_ebitda_score,net_debt_to_ebitda_score,interest_coverage_score,cash_interest_coverage_score,capex_to_revenue_score,capex_to_ebitda_score,cash_flow_strength_score,deleveraging_capacity_score,leverage_score,coverage_score,capex_burden_score,lbo_financial_score,financial_feasibility_score,missing_critical_data,pass_fcf_filter,pass_interest_coverage_filter,pass_debt_to_ebitda_filter,pass_current_ratio_filter,pass_capex_to_ebitda_filter,pass_hard_filters,financial_red_flag,lbo_rating,lbo_status
292,LNT,Alliant Energy,Utilities,Electric Utilities,352541,ALLIANT ENERGY CORP,True,,2025.0,2026-02-20,4027000000.0,,943000000.0,676000000.0,943000000.0,1619000000.0,394000000.0,867000000.0,1366000000.0,-499000000.0,-499000000.0,3802800000.0,81000000.0,3721800000.0,1184000000.0,2715000000.0,-0.1239135833126396,-0.3082149474984558,-0.1312191017145261,2.3488573193329216,2.298826436071649,2.3934010152284264,2.200507614213198,0.4360957642725598,0.3392103302706729,0.8437306979617047,18,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,15.0,0.15,False,False,True,True,False,False,False,True,Marginal,Fail
293,ED,Consolidated Edison,Utilities,Multi-Utilities,1047862,CONSOLIDATED EDISON INC,True,,2025.0,2026-02-19,14476000000.0,,3196000000.0,2031000000.0,3196000000.0,5227000000.0,1023000000.0,2156000000.0,4085000000.0,-1929000000.0,-1929000000.0,24710000000.0,1324000000.0,23386000000.0,6664000000.0,6433000000.0,-0.1332550428295109,-0.369045341496078,-0.0780655605018211,4.727377080543333,4.474076908360436,3.124144672531769,2.10752688172043,1.0359085963003265,0.2821912130422768,0.7815190357757796,18,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,10.5,0.105,False,False,True,True,True,False,False,True,Marginal,Fail
294,ETR,Entergy,Utilities,Electric Utilities,65984,ENTERGY CORP /DE/,True,,2025.0,2026-02-19,12147412000.0,,2617975000.0,2051677000.0,2617975000.0,4669652000.0,834694000.0,4294328000.0,4440652000.0,-146324000.0,-146324000.0,27991595000.0,859703000.0,27131892000.0,4396237000.0,6111037000.0,-0.0120456933542716,-0.0313350973477252,-0.0052274263042173,5.994364248128126,5.810259950848586,3.136448806388928,5.144793181692932,0.7193929606382681,0.3655636278739866,0.9509599430535725,18,Revenues,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,10.5,0.105,False,False,True,False,False,False,False,True,Marginal,Fail
295,IRM,Iron Mountain,Real Estate,Other Specialized REITs,1020569,IRON MOUNTAIN INC,True,,2025.0,2026-02-12,5480289000.0,,921778000.0,776159000.0,921778000.0,1697937000.0,242599000.0,1113567000.0,1339223000.0,-225656000.0,-225656000.0,13719086000.0,155716000.0,13563370000.0,1691222000.0,3087275000.0,-0.0411759306854072,-0.1329001017116653,-0.016448326076533,8.079855730807445,7.988146792254365,3.79959521679809,4.590154947052543,0.5478041314751683,0.2443708716821321,0.7887353888866312,18,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.5,10.499999999999998,0.10499999999999998,False,False,True,False,False,False,False,True,Marginal,Fail
296,EXC,Exelon,Utilities,Electric Utilities,1109357,EXELON CORP,True,,2025.0,2026-02-12,21727000000.0,,4023000000.0,2778000000.0,4023000000.0,6801000000.0,1529000000.0,4703000000.0,7408000000.0,-2705000000.0,-2705000000.0,49428000000.0,407000000.0,49021000000.0,8384000000.0,9611000000.0,-0.1244994707046532,-0.3977356271136597,-0.054726066197297,7.267754741949713,7.207910601382149,2.631131458469588,3.075866579463702,0.8723337842055977,0.340958254706126,1.0892515806499043,18,Revenues,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,7.5,0.075,False,False,True,False,False,False,False,True,Marginal,Fail
297,ES,Eversource Energy,Utilities,Electric Utilities,72741,EVERSOURCE ENERGY,True,,2025.0,2026-02-17,11910705000.0,,2399335000.0,815700000.0,2399335000.0,3215035000.0,582334000.0,1646161000.0,4336849000.0,-2690688000.0,-2690688000.0,26704777000.0,26700000.0,26678077000.0,5076073000.0,6720957000.0,-0.2259050156980632,-0.8369078408166629,-0.1007568046720629,8.306216573069966,8.297911842328311,4.120204212702676,2.826833054570057,0.7552604487723995,0.3641135432369452,1.3489274611318385,18,Revenues,short_term_debt + long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,7.5,0.075,False,False,True,False,False,False,False,True,Marginal,Fail
298,EVRG,Evergy,Utilities,Electric Utilities,1711269,"Evergy, Inc.",True,,2025.0,2026-02-19,5345100000.0,,1282400000.0,1076500000.0,1282400000.0,2358900000.0,525800000.0,1980200000.0,2334000000.0,-353800000.0,-353800000.0,12460900000.0,22000000.0,12438900000.0,1839300000.0,3662400000.0,-0.0661914650801668,-0.1499851625757768,-0.0283928127181824,5.282504557208869,5.273178176268599,2.4389501711677446,3.766070749334348,0.5022116644823067,0.4366616153112196,0.9894442324812412,18,RevenueFromContractWithCustomerExcludingAssessedTax,short_term_debt + long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,7.5,0.075,False,False,True,False,False,False,False,True,Marginal,Fail
299,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1013871,"NRG ENERGY, INC.",True,,2025.0,2026-02-24,28256000000.0,,384000000.0,1295000000.0,384000000.0,1679000000.0,485000000.0,-221000000.0,598000000.0,-819000000.0,-819000000.0,10940000000.0,541000000.0,10399000000.0,8964000000.0,8813000000.0,-0.0289849943374858,-0.4877903513996426,-0.0748628884826325,6.515783204288267,6.193567599761763,0.7917525773195876,-0.4556701030927835,1.017133779643708,0.0211636466591166,0.3561643835616438,18,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.5,7.5,0.075,False,False,False,False,True,True,False,True,Marginal,Fail
300,EIX,Edison International,Utilities,Electric Utilities,827052,EDISON INTERNATIONAL,True,,2025.0,2026-02-18,16338000000.0,,2627000000.0,2635000000.0,2627000000.0,5262000000.0,925000000.0,3401000000.0,5448000000.0,-2047000000.0,-2047000000.0,35583000000.0,193000000.0,35390000000.0,7155000000.0,8439000000.0,-0.1252907332598849,-0.3890155834283542,-0.0575274709833347,6.762257696693273,6.725579627518054,2.84,3.676756756756757,0.8478492712406683,0.3334557473374954,1.0353477765108323,18,Revenues,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,7.5,0.075,False,False,True,False,False,False,False,True,Marginal,Fail
301,DUK,Duke Energy,Utilities,Electric Utilities,1326160,Duke Energy CORP,True,,2016.0,2017-02-24,22509000000.0,,7070000000.0,6084000000.0,7070000000.0,13154000000.0,3014000000.0,9878000000.0,12604000000.0,-2726000000.0,-2726000000.0,80689000000.0,314000000.0,80375000000.0,12950000000.0,19357000000.0,-0.1211071127104713,-0.2072373422533069,-0.0337840349985747,6.13417971719629,6.1103086513608025,2.3457199734572,3.2773722627737225,0.6690086273699437,0.5599537962592741,0.9581876235365668,18,SalesRevenueNet,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,7.5,0.075,False,False,True,False,False,False,False,True,Marginal,Fail
